"","package","version"
"1","survival","2.38-3"
"2","zoo","1.7-12"
"3","lmtest","0.9-34"
"4","sandwich","2.3-3"
"5","lattice","0.20-33"
"6","lpSolve","5.6.11"
"7","RANN","2.5"
"8","survey","3.30-3"
"9","clue","0.3-50"
"10","proxy","0.4-15"
"11","crayon","1.3.4"
"12","BH","1.69.0-1"
"13","RcppEigen","0.3.3.5.0"
"14","dichromat","2.0-0"
"15","labeling","0.3"
"16","clipr","0.5.0"
"17","readr","1.3.1"
"18","nloptr","1.2.1"
"19","Rcpp","0.12.12"
"20","plyr","1.8.3"
"21","boot","1.3-17"
"22","digest","0.6.8"
"23","minqa","1.2.4"
"24","lme4","1.1-8"
"25","memoise","0.2.1"
"26","nlme","3.1-121"
"27","gtable","0.1.2"
"28","mgcv","1.8-7"
"29","DBI","0.3.1"
"30","SparseM","1.6"
"31","proto","0.3-10"
"32","nnet","7.3-10"
"33","R6","2.2.0"
"34","stringr","1.0.0"
"35","reshape2","1.4.1"
"36","magrittr","1.5"
"37","MASS","7.3-43"
"38","assertthat","0.1"
"39","pbkrtest","0.4-2"
"40","quantreg","5.11"
"41","car","2.0-26"
"42","colorspace","1.2-6"
"43","stringi","0.5-5"
"44","munsell","0.4.2"
"45","codetools","0.2-14"
"46","cluster","2.0.3"
"47","rdrobust","0.80"
"48","KernSmooth","2.23-15"
"49","AER","1.2-4"
"50","rdd","0.57"
"51","RColorBrewer","1.1-2"
"52","scales","0.4.1"
"53","ggplot2","2.2.0"
"54","lazyeval","0.2.0"
"55","dplyr","0.4.3"
"56","tidyr","0.3.1"
"57","lubridate","1.3.3"
"58","multiwayvcov","1.2.1"
"59","haven","0.2.0"
"60","pryr","0.1.2"
"61","reshape","0.8.5"
"62","StatMatch","1.2.3"
"63","stargazer","5.2"
"64","xtable","1.8-2"
"65","lfe","2.4-1788"
"66","gdata","2.17.0"
"67","praise","1.0.0"
"68","testthat","2.0.1"
"69","fansi","0.4.0"
"70","rlang","0.3.1"
"71","pillar","1.3.1"
"72","pkgconfig","2.0.2"
"73","tibble","2.0.1"
"74","purrr","0.2.5"
"75","purrr","0.2.5"
"76","purrr","0.2.5"
"77","generics","0.0.2"
"78","broom","0.5.1"
