,,,,,,,,,,,,,,,,,,,,
"Monthly House Price Indexes for Census Divisions and U.S.
Purchase-Only Index (Only Index available with Monthly Frequency)

NSA=Not Seasonally Adjusted; SA=Seasonally Adjusted",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Month,"East North Central
(NSA)","East North Central
(SA)","East South Central
(NSA)","East South Central
(SA)","Middle Atlantic
(NSA)","Middle Atlantic
(SA)","Mountain

(NSA)","Mountain

(SA)","New England

(NSA)","New England

(SA)","Pacific

(NSA)","Pacific

(SA)","South Atlantic
(NSA)","South Atlantic
(SA)","West North Central
(NSA)","West North Central
(SA)","West South Central
(NSA)","West South Central
(SA)","USA

(NSA)","USA

(SA)"
,,,,,,,,,,,,,,,,,,,,
1/1/1991,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2/1/1991,100.99,101.07,100.82,100.31,100.01,100.19,98.41,98.55,101.89,102.54,100.20,100.52,100.54,100.39,100.62,100.52,99.89,99.68,100.40,100.43
3/1/1991,101.36,101.00,101.00,100.55,99.93,99.76,100.15,100.52,101.69,101.45,99.98,100.13,101.02,100.63,100.40,99.97,100.79,100.54,100.71,100.49
4/1/1991,101.75,101.05,100.88,100.54,99.35,99.04,100.42,100.31,101.04,101.00,100.15,100.06,100.98,100.53,100.91,100.29,100.43,100.10,100.71,100.32
5/1/1991,102.39,101.44,101.20,100.74,99.59,99.10,100.72,100.37,99.75,99.79,100.38,100.11,100.84,100.61,100.68,100.08,100.89,100.35,100.87,100.39
6/1/1991,102.82,101.56,102.15,101.54,99.65,98.78,102.13,101.41,99.22,98.71,100.41,99.87,101.34,100.67,101.49,100.43,102.02,100.95,101.37,100.52
7/1/1991,103.02,101.94,101.96,101.53,100.11,99.04,101.47,101.26,99.19,98.76,100.45,99.84,101.04,100.48,101.35,100.30,101.75,100.81,101.32,100.54
8/1/1991,103.18,102.12,101.65,100.72,99.63,98.60,101.91,101.28,98.46,98.01,100.75,99.94,100.80,100.03,101.82,100.63,101.52,100.58,101.26,100.37
9/1/1991,102.87,102.05,101.96,101.13,100.17,99.24,101.87,101.50,100.00,99.12,100.38,99.62,100.76,100.13,101.67,100.75,102.13,101.44,101.37,100.61
10/1/1991,103.09,102.40,101.96,101.58,99.97,98.95,103.18,102.51,99.28,98.76,100.89,100.33,101.69,100.97,101.88,101.35,101.38,100.66,101.60,100.92
11/1/1991,104.00,103.38,102.93,102.29,100.94,100.05,104.12,103.83,98.35,97.44,100.86,100.59,102.19,101.36,101.86,101.36,101.98,101.34,102.10,101.47
12/1/1991,103.75,103.45,103.51,103.25,100.64,100.30,103.58,103.52,99.07,98.70,101.04,100.64,101.92,101.61,102.94,102.49,102.09,101.87,102.15,101.84
1/1/1992,103.93,103.95,103.37,103.38,100.68,100.70,104.31,104.38,99.83,99.85,100.95,100.95,101.93,101.92,102.46,102.47,102.39,102.39,102.25,102.26
2/1/1992,104.40,104.47,104.69,104.19,101.72,101.96,105.06,105.23,99.84,100.52,101.08,101.41,102.83,102.68,102.98,102.89,103.48,103.26,102.94,102.98
3/1/1992,105.57,105.21,104.40,103.94,101.32,101.18,105.60,105.99,99.69,99.48,100.63,100.78,102.72,102.34,103.97,103.50,102.76,102.52,103.02,102.80
4/1/1992,106.01,105.28,103.85,103.50,101.10,100.79,105.81,105.66,98.47,98.46,100.40,100.28,102.29,101.84,104.16,103.51,103.13,102.77,102.93,102.54
5/1/1992,106.62,105.64,104.45,103.98,100.85,100.32,106.66,106.25,97.57,97.58,100.53,100.25,102.33,102.10,104.45,103.78,103.22,102.62,103.12,102.61
6/1/1992,107.01,105.69,104.88,104.21,101.19,100.25,107.66,106.89,97.07,96.49,100.32,99.74,102.54,101.85,105.30,104.17,104.08,103.00,103.47,102.57
7/1/1992,107.18,106.04,105.38,104.88,101.39,100.25,107.46,107.16,97.32,96.78,100.68,100.01,102.87,102.27,105.78,104.64,104.22,103.27,103.72,102.90
8/1/1992,107.61,106.50,106.41,105.42,101.37,100.26,108.71,107.98,98.22,97.72,100.99,100.15,103.90,103.09,106.08,104.82,105.01,104.02,104.33,103.38
9/1/1992,107.64,106.77,106.80,105.95,102.15,101.19,108.79,108.35,98.50,97.64,101.04,100.25,104.26,103.60,106.42,105.41,104.92,104.20,104.57,103.77
10/1/1992,108.26,107.51,107.03,106.60,102.38,101.35,110.10,109.39,98.50,98.00,100.11,99.57,104.45,103.74,106.17,105.58,105.65,104.92,104.76,104.07
11/1/1992,108.53,107.90,107.01,106.35,102.94,102.10,110.38,110.10,99.41,98.54,99.89,99.64,104.38,103.56,106.55,105.98,106.27,105.61,105.00,104.37
12/1/1992,108.82,108.52,107.09,106.80,101.57,101.26,111.44,111.37,97.74,97.44,99.58,99.20,103.63,103.32,106.75,106.27,105.30,105.09,104.59,104.28
1/1/1993,108.56,108.62,107.07,107.06,100.86,100.92,111.89,112.03,96.67,96.67,98.70,98.72,103.44,103.39,107.40,107.45,105.36,105.37,104.32,104.34
2/1/1993,108.38,108.43,106.96,106.53,100.41,100.75,111.93,112.16,94.64,95.32,97.69,98.06,103.37,103.22,107.79,107.72,105.72,105.53,104.03,104.09
3/1/1993,109.31,108.98,108.53,108.04,100.75,100.64,112.11,112.51,95.57,95.44,98.16,98.31,104.14,103.76,107.30,106.80,106.40,106.16,104.65,104.44
4/1/1993,110.34,109.58,108.77,108.35,101.70,101.39,114.10,113.90,96.56,96.55,98.43,98.31,105.02,104.56,108.90,108.23,106.97,106.59,105.52,105.11
5/1/1993,110.93,109.90,109.34,108.82,102.28,101.68,115.27,114.76,96.26,96.14,98.21,97.91,104.80,104.55,109.64,108.87,107.76,107.06,105.86,105.30
