Year,Quarter,Quarter2,Delinquency Rate,Sample_Period
2004,04:Q1,2004-01-01,1.65,0
2004,04:Q2,2004-04-01,1.6,0
2004,04:Q3,2004-07-01,1.58,0
2004,04:Q4,2004-10-01,1.39,0
2005,05:Q1,2005-01-01,1.43,0
2005,05:Q2,2005-04-01,1.55,0
2005,05:Q3,2005-07-01,1.57,0
2005,05:Q4,2005-10-01,1.63,0
2006,06:Q1,2006-01-01,1.6,0
2006,06:Q2,2006-04-01,1.62,0
2006,06:Q3,2006-07-01,1.75,0
2006,06:Q4,2006-10-01,1.95,0
2007,07:Q1,2007-01-01,2.03,0
2007,07:Q2,2007-04-01,2.3,0
2007,07:Q3,2007-07-01,2.76,0
2007,07:Q4,2007-10-01,3.08,0
2008,08:Q1,2008-01-01,3.69,0
2008,08:Q2,2008-04-01,4.38,0
2008,08:Q3,2008-07-01,5.22,0
2008,08:Q4,2008-10-01,6.66,0
2009,09:Q1,2009-01-01,7.85,0
2009,09:Q2,2009-04-01,8.61,0
2009,09:Q3,2009-07-01,9.58,1
2009,09:Q4,2009-10-01,10.51,1
2010,10:Q1,2010-01-01,11.26,1
2010,10:Q2,2010-04-01,11.13,1
2010,10:Q3,2010-07-01,10.75,1
2010,10:Q4,2010-10-01,10.19,1
2011,11:Q1,2011-01-01,10.41,1
2011,11:Q2,2011-04-01,10.58,1
2011,11:Q3,2011-07-01,10.35,1
2011,11:Q4,2011-10-01,10.28,1
2012,12:Q1,2012-01-01,10.34,1
2012,12:Q2,2012-04-01,10.47,1
2012,12:Q3,2012-07-01,10.68,1
2012,12:Q4,2012-10-01,9.99,1
2013,13:Q1,2013-01-01,9.7,1
2013,13:Q2,2013-04-01,9.32,1
2013,13:Q3,2013-07-01,8.64,1
2013,13:Q4,2013-10-01,8.21,1
2014,14:Q1,2014-01-01,7.82,1
2014,14:Q2,2014-04-01,7.41,1
2014,14:Q3,2014-07-01,6.99,1
2014,14:Q4,2014-10-01,6.58,1
2015,15:Q1,2015-01-01,6.16,0
2015,15:Q2,2015-04-01,5.79,0
2015,15:Q3,2015-07-01,5.46,0
2015,15:Q4,2015-10-01,5.17,0
2016,16:Q1,2016-01-01,4.84,0
2016,16:Q2,2016-04-01,4.55,0
