DATE,DGS30
2011-10-03,2.76
2011-10-04,2.77
2011-10-05,2.87
2011-10-06,2.96
2011-10-07,3.02
2011-10-10,.
2011-10-11,3.11
2011-10-12,3.19
2011-10-13,3.15
2011-10-14,3.22
2011-10-17,3.13
2011-10-18,3.17
2011-10-19,3.17
2011-10-20,3.19
2011-10-21,3.26
2011-10-24,3.27
2011-10-25,3.13
2011-10-26,3.22
2011-10-27,3.45
2011-10-28,3.36
2011-10-31,3.16
2011-11-01,2.99
2011-11-02,3.03
2011-11-03,3.10
2011-11-04,3.09
2011-11-07,3.05
2011-11-08,3.13
2011-11-09,3.03
2011-11-10,3.12
2011-11-11,.
2011-11-14,3.09
2011-11-15,3.10
2011-11-16,3.05
2011-11-17,2.98
2011-11-18,2.99
2011-11-21,2.96
2011-11-22,2.91
2011-11-23,2.82
2011-11-24,.
2011-11-25,2.92
2011-11-28,2.93
2011-11-29,2.96
2011-11-30,3.06
2011-12-01,3.12
2011-12-02,3.03
2011-12-05,3.02
2011-12-06,3.09
2011-12-07,3.04
2011-12-08,3.00
2011-12-09,3.10
2011-12-12,3.06
2011-12-13,2.98
2011-12-14,2.91
2011-12-15,2.92
2011-12-16,2.86
2011-12-19,2.79
2011-12-20,2.93
2011-12-21,3.00
2011-12-22,2.99
2011-12-23,3.05
2011-12-26,.
2011-12-27,3.04
2011-12-28,2.91
2011-12-29,2.90
2011-12-30,2.89
2012-01-02,.
2012-01-03,2.98
2012-01-04,3.03
2012-01-05,3.06
2012-01-06,3.02
2012-01-09,3.02
2012-01-10,3.04
2012-01-11,2.96
2012-01-12,2.97
2012-01-13,2.91
2012-01-16,.
2012-01-17,2.89
2012-01-18,2.96
2012-01-19,3.05
2012-01-20,3.10
2012-01-23,3.15
2012-01-24,3.15
2012-01-25,3.13
2012-01-26,3.10
2012-01-27,3.07
2012-01-30,2.99
2012-01-31,2.94
2012-02-01,3.01
2012-02-02,3.01
2012-02-03,3.13
2012-02-06,3.08
2012-02-07,3.14
2012-02-08,3.14
2012-02-09,3.20
2012-02-10,3.11
2012-02-13,3.14
2012-02-14,3.06
2012-02-15,3.09
2012-02-16,3.14
2012-02-17,3.16
2012-02-20,.
2012-02-21,3.20
2012-02-22,3.15
2012-02-23,3.13
2012-02-24,3.10
2012-02-27,3.04
2012-02-28,3.07
2012-02-29,3.08
2012-03-01,3.15
2012-03-02,3.11
2012-03-05,3.13
2012-03-06,3.08
