DATE,MORTGAGE30US,MORTGAGE15US
2011-10-06,3.94,3.26
2011-10-13,4.12,3.37
2011-10-20,4.11,3.38
2011-10-27,4.10,3.38
2011-11-03,4.00,3.31
2011-11-10,3.99,3.30
2011-11-17,4.00,3.31
2011-11-23,3.98,3.30
2011-12-01,4.00,3.30
2011-12-08,3.99,3.27
2011-12-15,3.94,3.21
2011-12-22,3.91,3.21
2011-12-29,3.95,3.24
2012-01-05,3.91,3.23
2012-01-12,3.89,3.16
2012-01-19,3.88,3.17
2012-01-26,3.98,3.24
2012-02-02,3.87,3.14
2012-02-09,3.87,3.16
2012-02-16,3.87,3.16
2012-02-23,3.95,3.19
2012-03-01,3.90,3.17
2012-03-08,3.88,3.13
2012-03-15,3.92,3.16
2012-03-22,4.08,3.30
2012-03-29,3.99,3.23
2012-04-05,3.98,3.21
2012-04-12,3.88,3.11
2012-04-19,3.90,3.13
2012-04-26,3.88,3.12
2012-05-03,3.84,3.07
2012-05-10,3.83,3.05
2012-05-17,3.79,3.04
2012-05-24,3.78,3.04
2012-05-31,3.75,2.97
2012-06-07,3.67,2.94
2012-06-14,3.71,2.98
2012-06-21,3.66,2.95
2012-06-28,3.66,2.94
2012-07-05,3.62,2.89
2012-07-12,3.56,2.86
2012-07-19,3.53,2.83
2012-07-26,3.49,2.80
2012-08-02,3.55,2.83
2012-08-09,3.59,2.84
2012-08-16,3.62,2.88
2012-08-23,3.66,2.89
2012-08-30,3.59,2.86
2012-09-06,3.55,2.86
2012-09-13,3.55,2.85
2012-09-20,3.49,2.77
2012-09-27,3.40,2.73
2012-10-04,3.36,2.69
2012-10-11,3.39,2.70
2012-10-18,3.37,2.66
2012-10-25,3.41,2.72
2012-11-01,3.39,2.70
2012-11-08,3.40,2.69
2012-11-15,3.34,2.65
2012-11-21,3.31,2.63
2012-11-29,3.32,2.64
2012-12-06,3.34,2.67
2012-12-13,3.32,2.66
2012-12-20,3.37,2.65
2012-12-27,3.35,2.65
2013-01-03,3.34,2.64
2013-01-10,3.40,2.66
2013-01-17,3.38,2.66
2013-01-24,3.42,2.71
2013-01-31,3.53,2.81
2013-02-07,3.53,2.77
2013-02-14,3.53,2.77
2013-02-21,3.56,2.77
2013-02-28,3.51,2.76
2013-03-07,3.52,2.76
2013-03-14,3.63,2.79
2013-03-21,3.54,2.72
2013-03-28,3.57,2.76
2013-04-04,3.54,2.74
2013-04-11,3.43,2.65
2013-04-18,3.41,2.64
2013-04-25,3.40,2.61
2013-05-02,3.35,2.56
2013-05-09,3.42,2.61
2013-05-16,3.51,2.69
2013-05-23,3.59,2.77
2013-05-30,3.81,2.98
2013-06-06,3.91,3.03
2013-06-13,3.98,3.10
2013-06-20,3.93,3.04
2013-06-27,4.46,3.50
2013-07-03,4.29,3.39
2013-07-11,4.51,3.53
2013-07-18,4.37,3.41
2013-07-25,4.31,3.39
2013-08-01,4.39,3.43
2013-08-08,4.40,3.43
2013-08-15,4.40,3.44
2013-08-22,4.58,3.60
2013-08-29,4.51,3.54
2013-09-05,4.57,3.59
2013-09-12,4.57,3.59
2013-09-19,4.50,3.54
2013-09-26,4.32,3.37
2013-10-03,4.22,3.29
2013-10-10,4.23,3.31
2013-10-17,4.28,3.33
2013-10-24,4.13,3.24
2013-10-31,4.10,3.20
2013-11-07,4.16,3.27
2013-11-14,4.35,3.35
2013-11-21,4.22,3.27
2013-11-27,4.29,3.30
2013-12-05,4.46,3.47
2013-12-12,4.42,3.43
2013-12-19,4.47,3.51
2013-12-26,4.48,3.52
